| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| --- | --- | --- | --- | --- | --- | --- |
| 高级java工程师 | 北京·朝阳区·双井 | 20-35K·13薪 | 5-10年本科 | 深轻 | 计算机软件A轮20-99人 | https://www.zhipin.com/job_detail/e2a40d3c809d3a481Xxz29q6F1tT.html |
| 高级Java开发（京东外包） | 北京·通州区·马驹桥 | 22-24K | 5-10年大专 | 上海瑞应人才科技 | 计算机软件500-999人 | https://www.zhipin.com/job_detail/420c4f378bcea5391Hx809m5FlBZ.html |
| java开发（北京） | 北京·海淀区·百望山森林公园 | 20-30K·13薪 | 5-10年本科 | 长亮科技 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/05194e6acfc41cbe1XZ53NW9EVZV.html |
| 高级Java工程师 | 北京·朝阳区·太阳宫 | 25-35K·13薪 | 5-10年本科 | 一诺教育 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/d558d8ed7c7455131Hx82dS5FlpZ.html |
| 高级Java开发 | 北京·海淀区·上地 | 18-25K | 5-10年本科 | 中科软 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/7be4b067f120bb2b1Hx92dW0FltY.html |
| 高级JAVA | 北京·海淀区·上地 | 25-40K | 5-10年本科 | 深思考 | 计算机软件B轮100-499人 | https://www.zhipin.com/job_detail/8251b7712b8f9c191HFz0tu4E1FX.html |
| 高级java开发【急聘】 | 北京·海淀区·上地 | 25-35K·16薪 | 5-10年本科 | 贝壳找房 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/90d92ea409fb34051HJ72967FVBQ.html |
| Java高级开发工程师 | 北京·海淀区·西三旗 | 25-35K | 5-10年本科 | 北京国能日新 | 计算机软件已上市500-999人 | https://www.zhipin.com/job_detail/c34d3bd7f1676a6b1XV729i8GVJQ.html |
| JAVA 高级工程师 | 北京·东城区·广渠门 | 18-28K·13薪 | 5-10年本科 | 联客触点 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/8369ae55f55b3d041XF62966GFFS.html |
| 高级Java（农银金科） | 北京·通州区·玉桥 | 22-23K | 5-10年本科 | 上海艾融软件 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/016e32799fd2dde81HJ_3924ElRU.html |
| Java开发工程师 | 北京·海淀区·北太平庄 | 15-30K | 5-10年本科 | 云和互动 | 大数据A轮20-99人 | https://www.zhipin.com/job_detail/d4d24b1b4ca108ae1Xd82dm7FFFY.html |
| 高级java开发 | 北京 | 25-40K·14薪 | 5-10年本科 | 某大型通信网络设备上市公司 | 通信/网络设备已上市10000人以上 | https://www.zhipin.com/job_detail/06df92245618ec3d1Hx_3t2-EFVZ.html |
| java（国企） | 北京 | 20-30K | 5-10年本科 | 某通信公司 | 通信/网络设备20-99人 | https://www.zhipin.com/job_detail/a139f9ad4f3913721HF909S6GFZZ.html |
| 高级java开发 | 北京·海淀区·学院路 | 20-25K | 5-10年本科 | 行展软件 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/7413eea07d31170b1Hx-0tW-EFdU.html |
| 高级java开发 | 北京·朝阳区·朝外 | 15-25K | 5-10年本科 | 馨橙科技 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/3707d829caac79c81Hx929-9EVFQ.html |
| 信贷java工程师 | 北京·朝阳区·望京 | 20-30K·16薪 | 5-10年本科 | 艾语智能 | 人工智能未融资20-99人 | https://www.zhipin.com/job_detail/d9660d398647b55b1HN_29m4GFBW.html |
| JAVA开发工程师 | 北京 | 15-25K | 5-10年本科 | 嗨飞星球 | 旅游/景区不需要融资20-99人 | https://www.zhipin.com/job_detail/b720d36fe8b6e2dc1nJy3d68FltQ.html |
| JAVA开发工程师 | 北京 | 25-40K | 5-10年本科 | 某大型信托公司 | 信托不需要融资100-499人 | https://www.zhipin.com/job_detail/a0ef503ce20e33751HB929u-FFNW.html |
| Java开发工程师 | 北京·海淀区·苏州街 | 20-35K·16薪 | 5-10年本科 | 途家网 | 互联网D轮及以上500-999人 | https://www.zhipin.com/job_detail/613250dbe9d5bc301Hx62d-1GFdR.html |
| java开发 | 北京·海淀区·西北旺 | 18-22K | 5-10年本科 | 中软国际 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/d52f0c5a2b61c36d1HF-29i9ElJR.html |
| 高级java工程师 | 北京·海淀区·万柳 | 27-35K | 5-10年本科 | 金石易服 | 大数据不需要融资1000-9999人 | https://www.zhipin.com/job_detail/bd9214c6656db7351Hx83d64ElFQ.html |
