| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| --- | --- | --- | --- | --- | --- | --- |
| java开发工程师 | 成都 | 20-40K·14薪 | 经验不限本科 | 某大型国际计算机软件公司 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/851fe12909ab91d31Hx92Nu-EFZQ.html |
| 高级java开发 | 成都·武侯区·成都高新区 | 23-30K | 5-10年本科 | 斗道网络 | 游戏20-99人 | https://www.zhipin.com/job_detail/19c73c646acd5a6b1Hx_3dW-EFFT.html |
| 资深java开发工程师 | 成都·武侯区·孵化园 | 20-35K·15薪 | 5-10年本科 | 税友集团 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/16cac17ff79c16dc1Hx42dq8ElFV.html |
| 高级Java | 成都·武侯区·中和 | 15-25K | 3-5年本科 | 随身云(北京) | 移动互联网B轮100-499人 | https://www.zhipin.com/job_detail/db5b7c3cb765469d1HNy3t--E1FR.html |
| 客户平台-java工程师 | 成都·武侯区·中和 | 20-40K·15薪 | 经验不限本科 | 上海三快科技有限公司 | 生活服务(O2O)已上市10000人以上 | https://www.zhipin.com/job_detail/8cb50eca9dfc63311HN429i-F1pS.html |
| java | 成都·郫都区·红光镇 | 15-30K | 1-3年本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/6d967a8d4c1a6f0f1HB409m0ElFS.html |
| Java开发工程师 | 成都·武侯区·中和 | 18-35K·16薪 | 5-10年本科 | 快牛智能 | 互联网B轮500-999人 | https://www.zhipin.com/job_detail/5cb7e09b8cebdcf41Hx529W8EVRW.html |
| java开发工程师 | 成都·武侯区·中和 | 15-25K | 3-5年本科 | 成都微可爱科技 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/4483e8d8d00450dd1HN_2dW-F1dX.html |
| Java 高级/资深开发 | 成都 | 25-50K·13薪 | 5-10年大专 | 成都某小型游戏美术资源制作公司 | 游戏未融资20-99人 | https://www.zhipin.com/job_detail/11c88fdea71026fb1Hx92t20ElpU.html |
| 高级java | 成都·双流区·华阳 | 15-18K | 5-10年本科 | PPtutor | 在线教育B轮1000-9999人 | https://www.zhipin.com/job_detail/8cad03d5811802141HN42dm-GVRU.html |
| Java | 成都 | 15-25K·15薪 | 5-10年本科 | 中移集成 | 通信/网络设备不需要融资1000-9999人 | https://www.zhipin.com/job_detail/52f964302dce4d711Hx829W8GVNY.html |
| 高级java开发 | 成都·武侯区·双楠 | 25-35K | 3-5年本科 | 成都犀榴 | 互联网20-99人 | https://www.zhipin.com/job_detail/6f870043cb73bb761Hd93di_ElBT.html |
| java开发 | 成都·郫都区·高新西 | 15-30K | 1-3年本科 | 华为终端 | 电子/半导体/集成电路500-999人 | https://www.zhipin.com/job_detail/1d4391dbb2c269091Xd80tq6FlBZ.html |
| Java开发高级工程师 | 成都·武侯区·新会展中心 | 18-28K | 5-10年本科 | 焙增信息技术有限公司 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/a3fdde0b925d7cc21XVy29i5E1VT.html |
