| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| --- | --- | --- | --- | --- | --- | --- |
| java程序员 | 沈阳·沈河区·北站 | 6-10K | 1-3年大专 | 辽宁安融帮企业管... | 其他金融业未融资100-499人 | https://www.zhipin.com/job_detail/79ffaf58507f5d391Hx-2Ny1FVZT.html |
| 安卓开发_南京 | 沈阳·和平区·西塔 | 15-18K·13薪 | 3-5年大专 | 中软国际 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/d2bcbab1d22004c71HNy2ti5FlZY.html |
| 金融测试工程师 | 沈阳·浑南区·白塔 | 5-8K | 3-5年大专 | 百源数创 | 互联网不需要融资0-20人 | https://www.zhipin.com/job_detail/47272176f651acdd1Hx92dW-GFVZ.html |
| Java开发sy | 沈阳·于洪区·黄河 | 10-12K | 3-5年本科 | 天津拾翠科技发展 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/33522f6041aa2cc01Hx52Ni9EFZR.html |
| it工程师(驻日） | 沈阳·浑南区·白塔 | 20-40K | 3-5年大专 | 东软集团 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/840b15de2430502f1Hx_39S8FVNW.html |
| JAVA工程师(中高级) | 沈阳·沈河区·惠工 | 9-14K | 3-5年大专 | 新美星空 | 广告营销不需要融资500-999人 | https://www.zhipin.com/job_detail/c985ff5107cdcc6b1nx939S5GFFX.html |
| 高级java | 沈阳·沈河区·一经 | 13-18K | 5-10年本科 | 欣野科技 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/cdc096dad84be6041Hx929m9EFtR.html |
| Android高级开发工程师 | 沈阳·和平区·长白 | 10-12K | 5-10年大专 | 银河剧本团 | 互联网天使轮0-20人 | https://www.zhipin.com/job_detail/e1773fe74e5d3e181Hd63t25GVRV.html |
| 营销模型专家 | 沈阳·浑南区·白塔 | 15-30K·16薪 | 5-10年本科 | 金华泽信息技术 | 医疗健康不需要融资20-99人 | https://www.zhipin.com/job_detail/8ac5f2a2d98bcdc11HB-2t-8ElVQ.html |
| 初级程序员 | 沈阳·铁西区·启工 | 3-5K·13薪 | 1-3年大专 | 沈阳汉铸 | 进出口贸易不需要融资0-20人 | https://www.zhipin.com/job_detail/491952cabe2891931Hx809q-FVFT.html |
| 安卓开发\车载\线下面试\双休\七险一金 | 沈阳·浑南区·白塔 | 11-15K | 1-3年大专 | 上海思芮 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/d5c52e717f7f8a6c1Hx_0tu-ElZW.html |
| 大数据培训工程师 | 沈阳 | 15-30K·15薪 | 1-3年硕士 | 浙江华为 | 通信/网络设备不需要融资1000-9999人 | https://www.zhipin.com/job_detail/dee53a556e7a75131Hx92968FlJZ.html |
| 中高级性能测试工程师 | 沈阳·浑南区·白塔 | 6-10K | 5-10年大专 | 辽宁软信 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/65d86bcd1711467b1Hx92dS-GFVY.html |
| 研发技术经理 | 沈阳·沈河区·文化路 | 9-12K | 10年以上本科 | 北京高比科技有限公司 | 风电未融资20-99人 | https://www.zhipin.com/job_detail/5c0a56b2191e7a411Hx42dm9ElNR.html |
| 后端开发 | 沈阳 | 20-21K | 经验不限大专 | 某中型计算机软件公司 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/88d3ff708810bbb61Hx73tm4ElpW.html |
| 沈阳大数据开发工程师 | 沈阳·沈河区·北站 | 8-12K | 3-5年本科 | 杭州龙即信息技术 | 计算机服务未融资100-499人 | https://www.zhipin.com/job_detail/8ef4a4680039804e1HBz2NS7EVNV.html |
| java高级开发工程 | 沈阳·浑南区·五三 | 12-13K | 3-5年大专 | 卓恒科技 | 电子商务0-20人 | https://www.zhipin.com/job_detail/cd2003819893b4de1Hx-0921E1FQ.html |
| 安全管理员 | 沈阳 | 14-26K | 3-5年本科 | 某中型证券公司 | 证券/期货未融资100-499人 | https://www.zhipin.com/job_detail/b3400347f95f0a671Hx809S5FlpV.html |
| Java工程师（中级） | 沈阳·大东区·中街 | 6-10K | 经验不限本科 | 沈阳意程科技 | 运营商/增值服务0-20人 | https://www.zhipin.com/job_detail/e6bbec3bc893d52c1HJ539y0ElFU.html |
