| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| --- | --- | --- | --- | --- | --- | --- |
| java开发 | 深圳·龙华区·龙华 | 20-35K·13薪 | 5-10年本科 | 新旭网络 | 企业服务A轮100-499人 | https://www.zhipin.com/job_detail/2f15bf05e9ff8a7f1HJz3dS_E1RW.html |
| 高级java开发工程师 | 深圳·福田区·车公庙 | 20-35K | 5-10年本科 | 答税 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/7118f597647ddd0b1Hdy09y1GFFZ.html |
| 资深java工程师 | 深圳·龙岗区·坂田 | 20-40K·14薪 | 5-10年本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/124d289c47036dba1HJy29u_FlNY.html |
| 高级Java开发 | 深圳·龙岗区·坂田 | 25-35K·13薪 | 5-10年本科 | 店小秘 | 互联网D轮及以上500-999人 | https://www.zhipin.com/job_detail/f7bfef548396b17b1Xx529i-GFNQ.html |
| 高级java开发 | 深圳·龙岗区·坂田 | 15-25K | 5-10年本科 | 安骏物流 | 跨境物流未融资500-999人 | https://www.zhipin.com/job_detail/4848d16c55371d891Hx82d25ElZX.html |
| 高级java开发（港交所） | 深圳·罗湖区·东门 | 20-30K·14薪 | 5-10年本科 | 史泰博 中国 | 电子商务未融资1000-9999人 | https://www.zhipin.com/job_detail/3aec07e9735d67671Hx_3du0GVRQ.html |
| Java | 深圳·南山区·科技园 | 18-25K | 5-10年本科 | 广西胜科商贸有限公司 | 批发/零售20-99人 | https://www.zhipin.com/job_detail/b5aed79cf29160951Hx-0924ElRZ.html |
| Java 后端开发工程师 | 深圳·福田区·岗厦 | 25-30K | 5-10年本科 | 智慧建筑创新 | 互联网A轮100-499人 | https://www.zhipin.com/job_detail/6896220d53a72edd1HNz3Nq7GFRY.html |
| 高级java工程师(A46119) | 深圳·南山区·科技园 | 20-25K·16薪 | 5-10年本科 | 当换科技 | 互联网未融资100-499人 | https://www.zhipin.com/job_detail/0abc8a005a9783df1HB82tq-GVFT.html |
| 高级java开发组长 | 深圳·宝安区·西乡 | 25-35K | 5-10年大专 | 灏瀚网络 | 社交网络与媒体不需要融资20-99人 | https://www.zhipin.com/job_detail/d03b81b1d3d2b7ab1HNz29--E1tW.html |
| java高级开发工程师 | 深圳 | 20-40K·14薪 | 5-10年本科 | 微购 | 移动互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/4562b37da55da9b51HNz3N-0EFFV.html |
| JAVA高级研发工程师 | 深圳·南山区·后海 | 25-40K·14薪 | 5-10年本科 | 滔搏运动 | 批发/零售已上市10000人以上 | https://www.zhipin.com/job_detail/61b61bd17095739b1HF63NW4GVpQ.html |
| 高级java研发工程师 | 深圳·龙岗区·布吉 | 20-30K | 5-10年本科 | 乐游五洲 | 旅游/景区100-499人 | https://www.zhipin.com/job_detail/645fdb916553b7af1HJ80928EVtW.html |
| JAVA开发工程师 | 深圳·龙岗区·平湖 | 20-40K·15薪 | 5-10年本科 | 鹏芯微 | 半导体/芯片不需要融资1000-9999人 | https://www.zhipin.com/job_detail/9da3d12cb08631a11HVz29y9FVVT.html |
| 资深JAVA开发（电商） | 深圳·南山区·科技园 | 22-30K·13薪 | 5-10年本科 | 爱租机 | 互联网B轮100-499人 | https://www.zhipin.com/job_detail/3094c95dec013ba71Hx52Nu-FFRR.html |
| 高级Java工程师 | 深圳·福田区·梅林 | 25-40K | 5-10年本科 | 万物安全 | 信息安全B轮100-499人 | https://www.zhipin.com/job_detail/2f091c5b51bf6e801Hx72NW5GFJQ.html |
| java工程师【香港】 | 深圳·福田区·石厦 | 25-40K | 5-10年本科 | Wishare | 互联网B轮100-499人 | https://www.zhipin.com/job_detail/a4df0f022da5f5a51Hx62tq4FVdV.html |
| java开发工程师 | 深圳·福田区·会展中心 | 15-25K | 5-10年本科 | 旭珑商顾 | 咨询不需要融资20-99人 | https://www.zhipin.com/job_detail/f5ee026d6b0792781HB42Nm4FFJT.html |
| Senior Java Developer | 深圳 | 25-35K | 5-10年本科 | 某大型证券/期货上市公司 | 证券/期货1000-9999人 | https://www.zhipin.com/job_detail/24186dfe7807e9891Hx-2tm9GVJT.html |
| java开发工程师 | 深圳·龙华区·龙华 | 18-25K·13薪 | 5-10年本科 | 捷顺科技 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/32d6d8d004a3177b1HB_3ty9GFdR.html |
| Java开发工程师 | 深圳·南山区·科技园 | 30-60K·14薪 | 5-10年本科 | 中舟科技 | 医疗服务未融资20-99人 | https://www.zhipin.com/job_detail/71742896ac081f180XB809i_GFA~.html |
| 资深java开发工程师 | 深圳 | 25-40K | 5-10年本科 | 某大型通信公司 | 通信/网络设备未融资100-499人 | https://www.zhipin.com/job_detail/f5659911a68397f11Hx60tm7GVJQ.html |
| 高级 Java 工程师金融方向 | 深圳 | 25-40K | 5-10年本科 | 深圳某中型金融服务公司 | 租赁/拍卖/典当/担保100-499人 | https://www.zhipin.com/job_detail/ec9c60f847e6bb171Hx-3d60F1pT.html |
| 高级java开发工程师 | 深圳·罗湖区·水贝 | 19-24K·13薪 | 5-10年本科 | 金小宇 | 电子商务未融资100-499人 | https://www.zhipin.com/job_detail/b52e0e57c46517921XNy3tq5F1tT.html |
| 高级 Java 工程师（金融信贷） | 深圳 | 25-40K·15薪 | 5-10年本科 | 某中型融资担保公司 | 租赁/拍卖/典当/担保未融资100-499人 | https://www.zhipin.com/job_detail/9f38a1a57e5b096f1HNz3NS6ElBY.html |
