| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| --- | --- | --- | --- | --- | --- | --- |
| Java高级讲师 | 郑州·中原区·高新区 | 11-20K | 3-5年本科 | 云和数据 | 互联网A轮100-499人 | https://www.zhipin.com/job_detail/dff1bc24ad49bf591n152du-GVFS.html |
| 后端开发工程师-一线大厂 | 郑州 | 20-40K·16薪 | 3-5年本科 | 某大型互联网平台公司 | 互联网1000-9999人 | https://www.zhipin.com/job_detail/d0e6cbe08ec4f7941HN83t69GFVZ.html |
| Java | 郑州·二七区·京广路 | 5-6K | 经验不限本科 | 河南空天星际科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/eba6af462db0444d1Hx92Nq0EFdR.html |
| Java开发（六险一金+双休） | 郑州·管城回族区·京广路 | 10-11K | 5-10年本科 | 德科信息 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/6f8eb3585c1a6f101HN42d68FlpQ.html |
| java全栈开发工程师 | 郑州·二七区·京广路 | 9-14K·14薪 | 经验不限学历不限 | 玉带 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/52b637c447add2161HJ82N68E1FW.html |
| java后端开发工程师+双休+五险一金 | 郑州·金水区·龙子湖 | 5-7K | 1-3年大专 | 百屿信息 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/7e26302fc1607c381HR909-1GVNQ.html |
| Java开发（郑州） | 郑州·二七区·京广路 | 8-10K | 3-5年本科 | 华苏科技 | 通信/网络设备已上市1000-9999人 | https://www.zhipin.com/job_detail/cdef712707daa1411HNz29y5E1tY.html |
| java开发 | 郑州·金水区·CBD | 15-30K | 经验不限本科 | 华为技术有限公司 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/844063981539a6331HZ72NW1FlZS.html |
| 银行核心Java开发 | 郑州·金水区·CBD | 15-30K·13薪 | 5-10年本科 | 神州信息 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/72f07448ab591bb81HF909y1EFBR.html |
| java工程师（7K-15K，可参与项目分红） | 郑州·金水区·文博广场 | 7-8K | 3-5年本科 | 河南信付通 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/fd6eb4eb13e260db1HJy09u8ElFT.html |
| 国企正编-软件开发（java/golang/python） | 郑州 | 20-40K | 5-10年本科 | 苏州某大型计算机软件及云计算、大数据上市公司 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/7b2694475dbab1cb1Hx82ti1FFBZ.html |
| 高级java架构师 | 郑州·金水区·CBD | 12-18K | 5-10年大专 | 谷从 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/71e90208359135431HF82N2-EFJY.html |
| java技术支持 | 郑州·管城回族区·郑州东站 | 9-12K·13薪 | 3-5年本科 | 软通动力 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/0349ae587b5a14d21Hd42N27E1BV.html |
| 急聘 自动化测试（Java方向，高级） | 郑州·管城回族区·郑州东站 | 8-11K | 1-3年大专 | 申朴信息 | 互联网金融已上市10000人以上 | https://www.zhipin.com/job_detail/68528883c3d933b11HF439W4GFRW.html |
| 后端java工程师 | 郑州·二七区·火车站 | 8-13K | 3-5年大专 | 英奢集团 | 回收/维修不需要融资500-999人 | https://www.zhipin.com/job_detail/aa698e20d4ed13ea1Hx70tm-EVdS.html |
| java开发 | 郑州·金水区·祭城 | 10-15K | 5-10年本科 | 中软国际 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/8b11a1ef02c1d1961HF70tm4FlZZ.html |
