| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| --- | --- | --- | --- | --- | --- | --- |
| 中高级java开发 | 重庆·渝中区·大坪 | 19-25K·15薪 | 5-10年本科 | 博阿图 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/dc65592f1924c5b31Hd63tS8ElFW.html |
| Java | 重庆·九龙坡区·渝州路 | 10-15K | 3-5年大专 | 到家了 | 房地产中介/租赁A轮10000人以上 | https://www.zhipin.com/job_detail/317e23731e5563ef1Hx-29q0EVRT.html |
| Java | 重庆·渝北区·人和 | 15-30K | 经验不限本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/5a7ffb0040e216171HRy3Nq9FlRT.html |
| Java开发工程师[供应链方向] | 重庆·江北区·五里店 | 20-40K·13薪 | 3-5年本科 | 异盾 | 电子商务不需要融资100-499人 | https://www.zhipin.com/job_detail/b176f12adc0f75f81HZ92tm9EFtQ.html |
| java开发-线上面试 | 重庆·渝北区·人和 | 12-14K | 5-10年本科 | 同和信息技术有限公司 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/8a325a55db8fb8a71Hx_2tm9F1ZQ.html |
| 资深java开发工程师 | 重庆·江北区·石马河 | 17-25K | 5-10年本科 | 小往科技 | 电子商务未融资100-499人 | https://www.zhipin.com/job_detail/4db88d8cbf71082b1HFz2tW8GFBZ.html |
| java开发工程师 | 重庆·渝北区·人和 | 11-12K | 1-3年大专 | 博彦科技 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/8c3f289f715c49121Hx53dW6E1BU.html |
| Java研发工程师 | 重庆·渝中区·鹅岭 | 15-30K·13薪 | 5-10年本科 | 德勤 | 咨询不需要融资10000人以上 | https://www.zhipin.com/job_detail/e6e536624d20a3091XR-2dy5F1ZW.html |
| Java | 重庆·渝北区·回兴 | 5-10K | 经验不限大专 | 二叠纪科技 | 计算机软件1000-9999人 | https://www.zhipin.com/job_detail/1dfaa122277faee61Hx80ti5E1tR.html |
| Java开发（架构/技术经理） | 重庆·渝中区·渝州路 | 15-25K | 5-10年本科 | 中软国际 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/8134960a6f0dc7981HF53d28ElpT.html |
| Java/稳定/远程面试 | 重庆·渝北区·人和 | 12-13K | 3-5年本科 | 拓保软件 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/23a3cb881a11f00d1HBy3d-6FFNZ.html |
| Java（重庆-马消） | 重庆·渝北区·光电园 | 12-14K | 3-5年本科 | 神州在线 | 企业服务未融资100-499人 | https://www.zhipin.com/job_detail/f10f669fd0f6c5ef1Hd_3di8FFpZ.html |
| 高级java全栈工程师 | 重庆 | 8-12K·13薪 | 5-10年本科 | 威畅信息 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/3435b79f9450b3b91Hx_0t6-EVdX.html |
| -JAVA工程师 | 重庆 | 30-45K·15薪 | 3-5年本科 | 某大型互联网平台公司 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/2f636b318cd0b6ec1HN709-1GVRS.html |
| Java | 重庆·渝北区·人和 | 10-13K | 5-10年大专 | 广州悦羚设计工程 | 装修装饰未融资20-99人 | https://www.zhipin.com/job_detail/6c42e1d428383cc91Hx-2ti6F1ZT.html |
| java开发工程师 | 重庆·渝北区·空港新城 | 11-16K | 3-5年大专 | Int-speed | 计算机软件D轮及以上500-999人 | https://www.zhipin.com/job_detail/323376f9208018e11HF_3967FlVT.html |
| Java后端-重庆 | 重庆·渝北区·人和 | 10-13K | 5-10年本科 | 极联股份 | 计算机软件未融资500-999人 | https://www.zhipin.com/job_detail/810ee60d44dbeb8e1HN82N68FVdY.html |
| java开发 | 重庆·渝北区·龙溪 | 8-11K | 3-5年本科 | 上海瀚若轩公司 | 互联网20-99人 | https://www.zhipin.com/job_detail/335416c1ed537f031Hx80tu9E1ZU.html |
| Java后端开发 | 重庆·渝中区·两路口 | 10-15K | 3-5年本科 | 重庆广千教育 | 培训/辅导机构不需要融资100-499人 | https://www.zhipin.com/job_detail/a348de4ba636eb5c1HN_3di-F1BR.html |
| 总行-Java开发工程师-年包40w | 重庆 | 22-35K | 经验不限本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/685e421b3010bad31HN-3du6GVtW.html |
| java开发 | 重庆 | 25-45K·15薪 | 10年以上本科 | 某大型汽车研发/制造公司 | 汽车研发/制造10000人以上 | https://www.zhipin.com/job_detail/0b262871ea680e681Hx83dq5FldS.html |
| Java开发（航空） | 重庆·渝北区·大竹林 | 10-14K | 5-10年本科 | 雁联技术 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/ff47a4a656fb1d321HB-09m_EVNZ.html |
| Java开发 | 重庆·南岸区·长生桥 | 8-11K | 3-5年大专 | 嘻码科技(北京) | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/31747a3c902d41ae1Hx829q7F1ZS.html |
| Java | 重庆·渝北区·黄泥塝 | 8-13K | 经验不限本科 | 南京辰晖智能网络科技 | 互联网未融资0-20人 | https://www.zhipin.com/job_detail/1fa9dde229f39b891HNz2ty7GFpX.html |
| Java中级开发工程师 | 重庆·渝中区·化龙桥 | 15-20K | 3-5年本科 | 茂日科技 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/7da6acf853dd8e161n1509y7EVNX.html |
| 蚂蚁消金-JAVA开发高级工程师-消金-重庆 | 重庆·南岸区·弹子石 | 30-60K·16薪 | 3-5年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/6c220cb1217860761Hx539q9GFBV.html |
| 中级java开发工程师 | 重庆·渝北区·大竹林 | 10-14K | 3-5年本科 | 微创软件 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/a4f3b584f6ef637f1HB-09u4FlpQ.html |
| Java开发工程师 | 重庆·江北区·五里店 | 8-10K | 3-5年本科 | 重庆思恩科信息 | 生活服务(O2O)未融资20-99人 | https://www.zhipin.com/job_detail/c4aae601b948b0ae1XZ-3NW9FFNT.html |
| Java开发工程师 | 重庆·南岸区·南滨路 | 25-50K·16薪 | 经验不限硕士 | 蚂蚁集团(互联网) | 互联网金融未融资500-999人 | https://www.zhipin.com/job_detail/899f9becc840e36c1HF539S8ElZS.html |
| java中高级开发工程师 | 重庆·沙坪坝区·大学城 | 18-25K·14薪 | 5-10年本科 | 云之家 | 互联网A轮100-499人 | https://www.zhipin.com/job_detail/d0c2fbcd70c7c3631Hx_29S-FVpV.html |
| java | 重庆·渝北区·光电园 | 7-10K | 1-3年本科 | 软通动力 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/80cee8594366f4ff1Hx-0960FVpV.html |
| java开发工程师 | 重庆·渝中区·渝州路 | 10-15K·13薪 | 5-10年本科 | 哈希智能 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/612b30d8807462f81HN909S7FlZQ.html |
| 高级Java开发工程师-数据平台 | 重庆·江北区·江北嘴 | 17-25K·13薪 | 3-5年本科 | 异连 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/4c27d48814ca559c1Hd93d-_EFdV.html |
| java高级开发工程师 | 重庆·渝北区·光电园 | 8-12K | 5-10年本科 | 应图马教育 | 培训/辅导机构不需要融资100-499人 | https://www.zhipin.com/job_detail/d4ef6a147bbb24a31XB73dm-EVZR.html |
| java开发工程师 | 重庆·渝北区·人和 | 9-14K | 5-10年本科 | 北方科诚 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/abffb6dc29625ff81Hx609u_GFZY.html |
| 高级java架构师 | 重庆·渝中区·渝州路 | 20-40K | 5-10年本科 | 相信光网络科技 | 互联网20-99人 | https://www.zhipin.com/job_detail/0ed229fabad389641HN52969GFZR.html |
| java高级研发工程师 | 重庆·渝北区·大竹林 | 10-14K | 5-10年本科 | 关键科技 | 通信/网络设备未融资100-499人 | https://www.zhipin.com/job_detail/8e09ff602f45f6901HN439u7ElRQ.html |
