| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| --- | --- | --- | --- | --- | --- | --- |
| JAVA高级开发工程师 | 长沙·雨花区·红星 | 15-30K | 5-10年本科 | 今娱 | 大数据未融资20-99人 | https://www.zhipin.com/job_detail/54947762440fcfe71nZ43tS_FFBX.html |
| java研发工程师 | 长沙 | 15-30K·16薪 | 经验不限本科 | 某大型互联网OTO平台上市公司 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/24199791d81e21eb1Hx73t-_E1pY.html |
| 高级JAVA开发工程师(base 长沙) | 长沙·岳麓区·麓谷 | 22-35K·14薪 | 5-10年本科 | Anker | 电子商务已上市1000-9999人 | https://www.zhipin.com/job_detail/9b000260a3a7117e1Hx62N20FVRS.html |
| Java后端工程师【长沙】 | 长沙·开福区·湘江中路 | 17-27K·14薪 | 经验不限大专 | 得物App | 电子商务B轮1000-9999人 | https://www.zhipin.com/job_detail/dbdf207fe8feebaf1Hdz0tu9EFNR.html |
| Java开发工程师（远程面试/双休大厂） | 长沙 | 15-30K·14薪 | 经验不限本科 | 某知名企业 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/33b917b8de9c479e1HN52969GFVR.html |
| java开发工程师 | 长沙 | 20-40K·14薪 | 经验不限本科 | 某大型国际计算机软件公司 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/435e7ddcecac16561Hx43du9FVFS.html |
| java | 长沙·岳麓区·麓谷 | 9-14K | 5-10年大专 | 拓保软件 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/519c7570156654fe1HFy2d25FVdS.html |
| 高级JAVA开发工程师-CS (MJ000162) | 长沙·开福区·伍家岭 | 15-25K | 5-10年本科 | 赢时胜 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/deb51f75e6f8632b1XF909S0F1FQ.html |
| 高级java开发 | 长沙 | 12-22K | 5-10年本科 | 数字马力 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/6de046ef50f64e291HB-0t64EVZX.html |
| 高级java后端工程师 | 长沙·岳麓区·麓谷 | 10-15K | 5-10年本科 | 方略有数 | 企业服务不需要融资0-20人 | https://www.zhipin.com/job_detail/405aaf6ef2bd52071HJz3dq4GVdT.html |
| java开发工程师 | 长沙·芙蓉区·马王堆 | 15-22K·14薪 | 5-10年本科 | 芒果融创 | 文化艺术/娱乐不需要融资100-499人 | https://www.zhipin.com/job_detail/0a3e7051de0bb2281Hd-2t-4ElFX.html |
| java中高级开发工程师 | 长沙·岳麓区·洋湖垸 | 15-30K·16薪 | 经验不限本科 | 长沙数字马力信息技术 | 计算机软件1000-9999人 | https://www.zhipin.com/job_detail/1c8b894a68ba49e51Hdz3tu1GVRU.html |
| 高级java开发 | 长沙·岳麓区·望城坡 | 10-15K | 5-10年大专 | 百拓创新 | 进出口贸易未融资100-499人 | https://www.zhipin.com/job_detail/e3b97437104a968c1HJ92tm8EVpW.html |
| 高级java | 长沙·长沙县·泉塘 | 11-12K | 5-10年大专 | 深圳市科南数字信... | 计算机软件0-20人 | https://www.zhipin.com/job_detail/dfc3fcaa63e52d2d1Hx83N26EVZW.html |
| Java开发工程师（长沙） | 长沙·岳麓区·青山镇 | 10-15K | 5-10年本科 | 明月华炎 | 通信/网络设备未融资100-499人 | https://www.zhipin.com/job_detail/64e9eb3b590d7a331Hx_0tu5GFRW.html |
| java开发 | 长沙·天心区·新开铺 | 7-9K | 5-10年本科 | 北京中益安顿科技 | 工程施工100-499人 | https://www.zhipin.com/job_detail/3188e142b5992c941HJ_2du6FlBU.html |
| Java开发工程师 | 长沙 | 15-25K | 3-5年本科 | 某大型计算机软件公司 | 计算机软件1000-9999人 | https://www.zhipin.com/job_detail/33a3192cbcad5d561HN82Nu4GFRV.html |
| Java【长沙华为 可24届 211以上】 | 长沙·岳麓区·望城坡 | 15-30K·14薪 | 经验不限本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/578efda218fc762b1HJy3dW0GFtZ.html |
| java后端工程师 | 长沙 | 20-35K | 3-5年本科 | 某知名计算机软件公司 | 计算机软件1000-9999人 | https://www.zhipin.com/job_detail/258d77e94f13a13b1HB83d69GVtT.html |
| 高级java开发工程师 | 长沙·芙蓉区·韭菜园 | 15-25K·13薪 | 5-10年本科 | 湖南电信数智公司 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/b01c6f9201fc1d521HN92926GVdS.html |
| Java开发（湖南财信） | 长沙·雨花区·东塘 | 12-15K | 5-10年本科 | 雁联技术 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/bf6eb0a19642cf601Hx50ti6EFVY.html |
| 高级java游戏开发工程师 | 长沙·雨花区·东塘 | 15-25K | 5-10年本科 | 湖南星空文化网络科技 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/2848e827bfa0d72c1Hx739y6FlFY.html |
| java开发 | 长沙 | 20-25K·16薪 | 5-10年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/53358089c7b9548d1HN63d-5FlNU.html |
| Java工程师（国企银行总行直招） | 长沙 | 25-35K | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/a7575a99b67a6bd01Hx-2ti9F1BW.html |
| 软件工程师（Java/前端/软件测试）线上面试 | 长沙·岳麓区·望城坡 | 15-30K·16薪 | 3-5年本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/73ea74bd1471874c1Hd52dm0EVVX.html |
| java中级开发工程师 | 长沙 | 8-13K | 5-10年大专 | 云河信息 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/86fd3fd429173c401HBy0t24F1JT.html |
| 研发工程师（Java） | 长沙 | 20-30K | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/0e89047d31deab1c1HNy2tS4EFBT.html |
| Java资深工程师/架构师 | 长沙·岳麓区·麓谷 | 20-30K·14薪 | 5-10年本科 | 华诺星空 | 智能硬件A轮500-999人 | https://www.zhipin.com/job_detail/e32d3549790557781HN409q1FVtU.html |
| 中/高级java开发工程师（短期全国内出差） | 长沙·芙蓉区·远大路 | 10-15K | 5-10年本科 | 长沙卓驰电子科技 | 通信/网络设备20-99人 | https://www.zhipin.com/job_detail/f59053a392ee18141HN52tu9E1ZQ.html |
| java研发工程师（接口） | 长沙 | 15-30K·13薪 | 3-5年本科 | 重庆某小型互联网开源代码协作平台公司 | 互联网20-99人 | https://www.zhipin.com/job_detail/0a1bcd947f2bde1c1HN70ty_EVdX.html |
| java（证劵） | 长沙·岳麓区·望城坡 | 11-14K | 5-10年本科 | 睿服科技 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/e1e4929b9e8431d21HNz3dW5GVRR.html |
| JAVA开发岗（某知名银行正编，国企） | 长沙 | 25-35K | 经验不限本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/1ba15354a49e29031Hx639S1GVpW.html |
